机构名称,名单来源,排除理由,需调研,mwlab命中数,mwlab展会,mwlab最大面积
杭州国际博览中心有限公司,观众,,Y,8,郑州建博会-郑州建材展 | 郑州建博会-太原中部建筑建材装饰博览会 | 南京世界智能制造博览会 | 中国（郑州）供热供暖热泵及舒适家居展览会 | 中国（郑州）热泵热水工程商大会及展览会,65000
杭州奥体会展文旅集团,参会+展商,,Y,0,,
杭州市园林,观众,执行类服务商/非会展主体,,0,,
杭州彼案文化传媒有限公司,观众,科技/营销服务商,,0,,
杭州斜杠和弦信息科技有限公司,展商,,Y,0,,
杭州未普会展科技有限公司,观众,,Y,0,,
杭州深瞳文化创意有限公司,观众,科技/营销服务商,,0,,
杭州玛克展示,观众,,Y,0,,
杭州禾维美科技有限公司,观众,,Y,0,,
森佳国际会展,观众,,Y,1,武汉国际环保产业博览会,40000
横琴清扬会务服务有限公司,参会+展商,,Y,0,,
橙信科技,观众,,Y,0,,
橙策美致,观众,,Y,0,,
欧洲（英国）梅森国际营销公司（ Mason Events Management Limited),参会+展商,,Y,0,,
欧瑞维世（上海）品牌管理有限公司 OrangeVision-上海橙世展览展示有限公司,观众,,Y,0,,
欧马腾会展科技（上海）有限公司,观众,,Y,1,2025年深圳设计展-设计深圳,20000
正大日本株氏会社,展商,执行类服务商/非会展主体,,0,,
武汉万吨冷链物流集团有限公司,参会,执行类服务商/非会展主体,,0,,
武汉英奇展示设计工程有限责任公司,观众,,Y,0,,
水博园,观众,,Y,0,,
水月周庄铂尔曼酒店,观众,酒店/住宿文旅,,0,,
汇易(北京)会议会展有限公司 北京汇君立成酒店管理,观众,酒店/住宿文旅,,0,,
汉诺威米兰展览（上海）有限公司,观众,国际同行(竞争对手),,25,中国国际地面材料及铺装技术展览会 | 亚洲国际动力传动与控制技术展览会PTC ASIA | 上海亚洲国际物流技术与运输系统展览会 | 深圳华南国际工业展-华南工博会 | 华南国际工业博览会（SCIIF）,300019
江苏国展华贸展览,参会,,Y,0,,
江苏地球村国际会展服务有限公司,参会,,Y,1,武汉国际环保产业博览会,40000
江苏宇巨展览展示有限公司,观众,,Y,0,,
江苏廿捌会展服务有限公司,参会+展商,,Y,0,,
江苏维伍喔飞信息科技有限公司,观众,科技/营销服务商,,0,,
江苏鲲鹏展翼会展有限公司,展商,,Y,0,,
江西一枝独秀会展服务有限责任公司,观众,,Y,0,,
河北房米信息科技有限公司/会易云（雄安）科技有限公司,观众,科技/营销服务商,,0,,
河北省人民政府驻上海办事处,参会,科技/营销服务商,,104,中国进出口商品交易会(广交会)概况 | 长春农业食品展-长春农博会 | 春季广交会二期canton fair | 广交会三期 | 春季广交会一期CANTON FAIR,1550000
河北省会展业协会,参会,,Y,0,,
河北金江会展策划有限公司,观众,,Y,0,,
河北鼎亚展览服务有限公司,观众,,Y,0,,
河南瑞祥会务会展有限公司,参会,,Y,0,,
泉州国贸集团,参会,,Y,0,,
泉州市会议展览业协会,参会,,Y,0,,
泉州市统源文化传媒有限公司,参会,科技/营销服务商,,0,,
法兰克福展览香港有限公司,观众,国际同行(竞争对手),,120,法兰克福上海汽配展 | 上海法兰克福汽配展览会 | 法兰克福沙特汽配展 | 法兰克福汽配展 | 德国法兰克福汽车配件、维修保养及售后服务展览会,350000
浙江中机展览服务有限公司,参会,,Y,0,,
浙江古合科技有限公司,参会+展商,,Y,0,,
浙江安吉涵田旅游发展有限公司,观众,酒店/住宿文旅,,0,,
浙江省国际贸易展览有限公司,观众,,Y,1,墨西哥摩托车展览会,25000
浙江省湖州市德清县会展办,观众,,Y,0,,
浙江蓝泰纸制品有限公司,展商,执行类服务商/非会展主体,,0,,
浩宇科技有限公司,观众,,Y,0,,
海外挂号网,观众,,Y,0,,
海维(上海)会展会务有限公（Hyve）,参会,国际同行(竞争对手),,1,CWIEME 上海国际线圈展,25000
深圳乐兔网络科技有限公司,观众,科技/营销服务商,,0,,
深圳会无忧文化传媒有限公司,参会,科技/营销服务商,,0,,
深圳华富展览服务有限公司,参会,,Y,0,,
深圳国际交流中心,参会+展商,,Y,3,FFANY纽约鞋展 | 美国纽约时尚鞋展览会 | 美国安纳海姆健身器材展览会,18000
深圳市利物智能科技有限公司,观众,科技/营销服务商,,0,,
深圳市吉祥国际（集团）有限公司,观众,,Y,0,,
深圳市展查查国际会展有限公司,参会+展商,,Y,1,武汉国际环保产业博览会,40000
深圳市开展么会展科技有限公司,参会+展商,,Y,0,,
深圳市数展科技有限公司,展商,,Y,0,,
深圳市昭楷科技有限公司,展商,,Y,0,,
深圳美程会展服务有限公司,观众,,Y,0,,
湖南锐智国际会展有限公司,参会,,Y,1,武汉国际环保产业博览会,40000
滴水湖洲际,观众,酒店/住宿文旅,,0,,
澳龙信息科技（上海）有限公司,参会+观众+展商,科技/营销服务商,,0,,
濮院时尚古镇,观众,,Y,0,,
灵通展览系统股份有限公司,观众,,Y,0,,
烟台博正企业管理咨询有限公司,展商,,Y,0,,
烟台蓝途文化传媒有限公司,观众,科技/营销服务商,,0,,
琳琳壹广告,观众,执行类服务商/非会展主体,,0,,
申办有限公司,观众,,Y,0,,
画龙科技有限公司,观众,,Y,0,,
盛世集团-墨迈SENSE WORLD HOSPITALITY GROUP,参会,,Y,0,,
福建会展壹号公关策划服务有限公司,参会+展商,,Y,0,,
福建米多多,观众,,Y,0,,
福建米多多网络科技有限公司,参会+展商,,Y,0,,
福建荟源文化发展集团有限公司,展商,,Y,0,,
福莱美熙展览展示（上海）有限公司,参会+展商,,Y,0,,
米多多,观众,,Y,0,,
纳恩博（北京）科技有限公司,观众,执行类服务商/非会展主体,,0,,
腾轩（上海）国际旅行社有限公司,观众,执行类服务商/非会展主体,,0,,
芭蕉鱼文体,参会,,Y,0,,
苏州会大咖会务服务有限公司,观众,,Y,0,,
苏州华诺展览展示有限公司,展商,,Y,0,,
苏州微闪文化有限公司,观众,,Y,0,,
苏州福源贸易有限公司,观众,科技/营销服务商,,0,,
苏州高新商旅发展有限公司狮山国际会议中心,参会,,Y,0,,
苦瓜科技,参会+展商,,Y,0,,
苦瓜科技&觅目出海,参会,,Y,0,,
英富曼,观众,国际同行(竞争对手),,105,中国美容博览会-上海美博会CBE | 深圳国际健康与营养保健品展览会 | 美国农业机械展览会 | 香港珠宝首饰展 | 拉斯维加斯服装展,260000
荟源,观众,,Y,0,,
药融圈,参会,,Y,0,,
蚂蚁集团支付宝,参会,执行类服务商/非会展主体,,0,,
西安万国博览集团有限公司,参会,,Y,0,,
西安国际会展中心,参会,,Y,19,甘肃兰州国际汽车博览会 | 广州亚洲再制造展览会 | 武汉国际环保产业博览会 | 韩国首尔食品展 | 韩国首尔食品加工包装机械展,100000
西安曲江国际会展（集团）有限公司曲江国际会议中心分公司,参会,,Y,1,武汉国际环保产业博览会,40000
西安曲江国际会议中心,观众,,Y,0,,
诺樱文化传播（上海）有限公司,参会,科技/营销服务商,,0,,
诺艾概念展示（上海）有限公司,观众,,Y,0,,
财金社,观众,,Y,0,,
贵阳市会展行业协会,观众,,Y,0,,
贾为广告有限公司,参会,执行类服务商/非会展主体,,0,,
超宇集团,观众,,Y,0,,
越南科诺会展服务有限公司,展商,,Y,0,,
路程网x房车行,观众,,Y,2,上海国际房车展 x 户外展 | 上海国际房车展 x改装秀,90000
迈世,观众,,Y,0,,
迈塔维斯国际展览江苏有限公司,展商,,Y,2,中国山东国际糖酒食品交易会 | CRFE山东济南国际连锁加盟展览会,40000
远洲旅业,观众,酒店/住宿文旅,,0,,
郑州中央文化区文化交流中心,参会,,Y,0,,
郑州千秋展览策划有限公司,参会,,Y,0,,
重庆优创东方展览集团有限公司,参会,,Y,0,,
重庆悦来温德姆酒店,参会,酒店/住宿文旅,,0,,
重庆数雅云信息技术有限公司,展商,,Y,0,,
金沐国际物流河北有限公司,观众,执行类服务商/非会展主体,,0,,
金运国际货运代理（杭州）有限公司,观众,执行类服务商/非会展主体,,0,,
长狄公关策划（上海）有限公司,参会,科技/营销服务商,,0,,
闽江学院,观众,院校,,0,,
阅视界(深圳)文化发展有限责任公司,参会,,Y,0,,
阅视界（深圳）文化发展有限责任公司,展商,,Y,0,,
集伺盟会展服务（上海）有限公司,参会,,Y,0,,
青岛市贸促会,参会,,Y,9,长沙国际工程机械展览会 | 榆林国际煤炭博览会-榆林煤博会 | 榆林国际煤炭暨高端能源化工产业博览会 | 湖南国际通用航空产业博览会 | 广饶国际橡胶轮胎及汽配展览会,300000
青岛市黄岛区广播电视台,参会,科技/营销服务商,,1,长沙芒果国际汽车博览会,100000
青岛盛世美伦展览服务有限公司,观众,,Y,0,,
韩国JNL TECH 株式会社,展商,执行类服务商/非会展主体,,0,,
领肯（厦门）会展服务有限公司,参会,,Y,0,,
首都会展集团有限公司 （老博会项目组）,观众,,Y,0,,
高呈传播科技（广东）有限公司,参会,科技/营销服务商,,0,,
高朋,观众,,Y,0,,
高顿集团,观众,,Y,0,,
麦特信息科技（广州）有限公司,参会,科技/营销服务商,,0,,
